latency,value
.037,100,
.034,200,
.034,300,
.033,400,
.034,500,
.033,600,
.034,700,
.033,800,
.032,900,
.032,1000,
.032,1100,
.033,1200,
.032,1300,
.032,1400,
.033,1500,
.032,1600,
.034,1700,
.034,1800,
.034,1900,
.033,2000,
.033,2100,
.032,2200,
.035,2300,
.032,2400,
.035,2500,
.034,2600,
.034,2700,
.034,2800,
.035,2900,
.036,3000,
.034,3100,
.035,3200,
.035,3300,
.034,3400,
.034,3500,
.033,3600,
.035,3700,
.033,3800,
.033,3900,
.032,4000,
.033,4100,
.034,4200,
.032,4300,
.033,4400,
.035,4500,
.034,4600,
.033,4700,
.032,4800,
.033,4900,
.042,5000,
.035,5100,
.033,5200,
.034,5300,
.033,5400,
.033,5500,
.035,5600,
.033,5700,
.034,5800,
.034,5900,
.034,6000,
.033,6100,
.033,6200,
.032,6300,
.032,6400,
.033,6500,
.033,6600,
.032,6700,
.033,6800,
.032,6900,
.033,7000,
.031,7100,
.032,7200,
.031,7300,
.034,7400,
.034,7500,
.033,7600,
.035,7700,
.039,7800,
.037,7900,
.035,8000,
.034,8100,
.034,8200,
.033,8300,
.033,8400,
.033,8500,
.035,8600,
.034,8700,
.034,8800,
.036,8900,
.034,9000,
.036,9100,
.035,9200,
.033,9300,
.033,9400,
.034,9500,
.033,9600,
.034,9700,
.033,9800,
.035,9900,
.033,10000,
